2020-02-12 22:11:57,005 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/~pattis, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:11:57,932 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:12:01,175 - Worker-0 - INFO - Downloaded https://www.ics.uci.edumisc/cheatingarticle/index.html, status <601>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:12:01,700 - Worker-0 - INFO - Downloaded https://www.ics.uci.eduICS-33/index.html, status <601>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:12:02,219 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/computerscience, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:12:41,891 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:12:45,777 - Worker-0 - INFO - Frontier is empty. Stopping Crawler.
2020-02-12 22:12:59,064 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:13:02,331 - Worker-0 - INFO - Frontier is empty. Stopping Crawler.
2020-02-12 22:14:15,882 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:14:19,215 - Worker-0 - INFO - Frontier is empty. Stopping Crawler.
2020-02-12 22:15:26,735 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:15:27,759 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/staff-spotlight-rosemary-bustas-journey-from-chemistry-to-statistics-to-scotland-and-beyond, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:15:28,855 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/contact-the-department, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:15:29,721 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/grad-student-directory, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:15:31,089 - Worker-0 - INFO - Downloaded http://www.stat.uci.edu/news, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:15:33,297 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/~marymr, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:15:34,172 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/~dgillen, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:15:34,833 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/senior-spotlight-taneisha-arora-pursues-her-passions-from-working-in-industry-to-running-a-bakery, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:15:36,351 - Worker-0 - INFO - Downloaded https://aiclub.ics.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:15:37,478 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/~aburtsev, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:15:43,988 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu./143A/index.html, status <404>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:15:49,809 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu./143A/2017fall/index.html, status <404>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:15:56,416 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu./238P/index.html, status <404>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:16:06,346 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu./work.html, status <404>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:16:14,461 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu./sem/index.html, status <404>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:16:16,790 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu./143A/2018fall/index.html, status <404>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:16:23,015 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu./personal.html, status <404>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:16:29,810 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu./cs5460/index.html, status <404>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:16:36,554 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu./238P/2018fall/index.html, status <404>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:16:43,547 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu./250P/2019winter/index.html, status <404>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:16:44,066 - Worker-0 - INFO - Downloaded https://www.ics.uci.edupublications.html, status <601>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:16:45,872 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu./238P/2018winter/index.html, status <404>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:16:51,316 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu./projects/redleaf, status <404>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:16:58,960 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu./250P/index.html, status <404>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:17:05,534 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu./projects/horizon, status <404>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:17:15,466 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu./projects/redshift, status <404>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:17:17,104 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu./143A/2017winter/index.html, status <404>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:17:17,625 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/~klefstad, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:17:23,601 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu./shortbio.html, status <404>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:17:29,772 - Worker-0 - INFO - Downloaded https://www.ics.uci.eduvita.html, status <601>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:17:31,001 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu./shortestbio.html, status <404>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:17:36,353 - Worker-0 - INFO - Downloaded https://www.ics.uci.edurefs.html, status <601>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:17:36,880 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/~pattis, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:17:37,621 - Worker-0 - INFO - Downloaded https://www.ics.uci.eduquotations.html, status <601>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:17:38,142 - Worker-0 - INFO - Downloaded https://www.ics.uci.edumisc/cheatingarticle/index.html, status <601>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:17:38,661 - Worker-0 - INFO - Downloaded https://www.ics.uci.edumisc/sbsarticle/index.html, status <601>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:17:39,181 - Worker-0 - INFO - Downloaded http://tutors.ics.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:17:39,824 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/computerscience, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:17:41,082 - Worker-0 - INFO - Downloaded https://www.ics.uci.eduICS-33/index.html, status <601>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:17:41,604 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/~andre, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:17:42,306 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/research/linecept, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:17:43,347 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/research/past-projects/crowddesign, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:17:44,327 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/wp-login.php, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:17:44,863 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/papers/books, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:17:45,785 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/research/past-projects/crowd-fault-localization, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:17:46,927 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~adrianoc, status <403>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:17:47,445 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/research/past-projects/code-orb-2, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:17:48,479 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~nlopezgi/pubs_authorizer.html, status <404>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:17:49,002 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/papers/technical-reports, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:17:49,962 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/people, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:17:50,992 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/contact/directions, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:17:51,895 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/papers, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:17:53,587 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/papers/dissertations, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:17:54,575 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/contact, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:17:55,522 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~redmiles, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:17:56,045 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/people/previous-members, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:17:58,013 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/research/past-projects/porchlight, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:17:59,040 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/research/past-projects/lighthouse, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:18:00,068 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/research/past-projects/codeexchange, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:18:01,097 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/research/past-projects/crowd-development, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:18:02,431 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/research/past-projects, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:18:04,550 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/research/past-projects/code-topics, status <404>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:18:05,072 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~emilyo/SimSE, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:18:05,660 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/sponsors, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:18:06,634 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/opportunities, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:18:07,655 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/~amezasor, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:18:08,258 - Worker-0 - INFO - Downloaded https://www.ics.uci.eduindex.html, status <601>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:18:08,776 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/research, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:18:09,794 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/research/knocap-2, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:18:10,899 - Worker-0 - INFO - Downloaded https://www.ics.uci.eduresearch.html, status <601>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:18:11,420 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/research/chatbots, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:18:12,583 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~epaikari, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:18:19,463 - Worker-0 - INFO - Downloaded https://www.ics.uci.eduaddress.html, status <601>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:18:19,982 - Worker-0 - INFO - Downloaded https://www.ics.uci.eduteaching.html, status <601>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:18:20,508 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:18:23,663 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/category/competition, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:18:24,672 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/tag/uci, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:18:25,811 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/2019/01/philip-guo-to-visit-sdcl, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:18:26,795 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/2018/12/saying-goodbye-and-welcome, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:18:27,787 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/category/workshop, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:18:28,718 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/2018/10/ice-cream-meeting-sdcl-social, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:18:29,713 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/tag/research, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:18:30,874 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/2019/07/i-surf-undergraduate-students-presented-progress-on-their-summer-research-projects, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:18:31,856 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/tag/guests, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:18:32,992 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/category/news, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:18:34,641 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/author/adriana, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:18:35,887 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/category/conference, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:18:37,161 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/2015/05/lees-msr-2015-talk, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:18:38,144 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/2016/05/i-htm, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:18:39,113 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/2016/05/consuelos-icse-2016-presentation, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:18:40,118 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/author/andre, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:18:41,865 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/2016/03/lee-was-awarded-the-ibm-fellowship, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:18:42,871 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/2016/03/congratulations-sara, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:18:43,859 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/author/andre/page/2, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:18:45,663 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/2015/06/end-of-quarter-lunch-2, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:18:46,656 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/2015/06/welcome-gabriel, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:18:47,617 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/2015/11/we-wish-martin-medina-well, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:18:48,617 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/2015/12/simse, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:18:49,587 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/2016/01/new-scholarship, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:18:50,589 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/author/andre/page/3, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:18:52,384 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/author/andre/page/4, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:18:54,264 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/2014/08/thesis-defense-congratulations, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:18:55,326 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/2014/10/welcome-consuelo, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:18:56,305 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/author/andre/page/5, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:18:58,185 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/2014/07/congratulations-to-the-uc-irvine-design-competition-winners, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:18:59,170 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/2014/07/welcome-gleiph, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:19:00,159 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/2014/04/chi2014, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:19:01,135 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/2014/05/scale-meeting-at-uc-irvine, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:19:02,107 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/2014/06/welcome-danilo-and-william, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:19:03,118 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/author/andre/page/6, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:19:05,112 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/2014/04/new-visitors-from-the-netherlands, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:19:06,209 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/2013/10/visit-to-ge-research, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:19:07,477 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/2013/11/2013-acm-distinguished-scientists, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:19:08,501 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/2013/12/visit-to-mobileworks, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:19:09,523 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/2013/12/new-workshop-on-crowdsourcing-in-software-engineering, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:19:10,526 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/2014/03/marian-petre-visit-3, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:19:11,637 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/2014/02/welcome-mengyao, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:19:12,722 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/2014/04/tablet-tower-to-server-tower, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:19:13,810 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/author/andre/page/7, status <200>, using cache ('styx.ics.uci.edu', 9013).
